wav_id,wav_path,dialect,sentence,speaker
DR1_FCJF0_SA1.WAV,./data/data/TRAIN/DR1/FCJF0/SA1.WAV.wav,DR1,SA1,FCJF0
DR1_FCJF0_SA2.WAV,./data/data/TRAIN/DR1/FCJF0/SA2.WAV.wav,DR1,SA2,FCJF0
DR1_FCJF0_SI1027.WAV,./data/data/TRAIN/DR1/FCJF0/SI1027.WAV.wav,DR1,SI1027,FCJF0
DR1_FCJF0_SI1657.WAV,./data/data/TRAIN/DR1/FCJF0/SI1657.WAV.wav,DR1,SI1657,FCJF0
DR1_FCJF0_SI648.WAV,./data/data/TRAIN/DR1/FCJF0/SI648.WAV.wav,DR1,SI648,FCJF0
DR1_FCJF0_SX127.WAV,./data/data/TRAIN/DR1/FCJF0/SX127.WAV.wav,DR1,SX127,FCJF0
DR1_FCJF0_SX217.WAV,./data/data/TRAIN/DR1/FCJF0/SX217.WAV.wav,DR1,SX217,FCJF0
DR1_FCJF0_SX307.WAV,./data/data/TRAIN/DR1/FCJF0/SX307.WAV.wav,DR1,SX307,FCJF0
DR1_FCJF0_SX37.WAV,./data/data/TRAIN/DR1/FCJF0/SX37.WAV.wav,DR1,SX37,FCJF0
DR1_FCJF0_SX397.WAV,./data/data/TRAIN/DR1/FCJF0/SX397.WAV.wav,DR1,SX397,FCJF0
DR1_FDAW0_SA1.WAV,./data/data/TRAIN/DR1/FDAW0/SA1.WAV.wav,DR1,SA1,FDAW0
DR1_FDAW0_SA2.WAV,./data/data/TRAIN/DR1/FDAW0/SA2.WAV.wav,DR1,SA2,FDAW0
DR1_FDAW0_SI1271.WAV,./data/data/TRAIN/DR1/FDAW0/SI1271.WAV.wav,DR1,SI1271,FDAW0
DR1_FDAW0_SI1406.WAV,./data/data/TRAIN/DR1/FDAW0/SI1406.WAV.wav,DR1,SI1406,FDAW0
DR1_FDAW0_SI2036.WAV,./data/data/TRAIN/DR1/FDAW0/SI2036.WAV.wav,DR1,SI2036,FDAW0
DR1_FDAW0_SX146.WAV,./data/data/TRAIN/DR1/FDAW0/SX146.WAV.wav,DR1,SX146,FDAW0
DR1_FDAW0_SX236.WAV,./data/data/TRAIN/DR1/FDAW0/SX236.WAV.wav,DR1,SX236,FDAW0
DR1_FDAW0_SX326.WAV,./data/data/TRAIN/DR1/FDAW0/SX326.WAV.wav,DR1,SX326,FDAW0
DR1_FDAW0_SX416.WAV,./data/data/TRAIN/DR1/FDAW0/SX416.WAV.wav,DR1,SX416,FDAW0
DR1_FDAW0_SX56.WAV,./data/data/TRAIN/DR1/FDAW0/SX56.WAV.wav,DR1,SX56,FDAW0
DR1_FDML0_SA1.WAV,./data/data/TRAIN/DR1/FDML0/SA1.WAV.wav,DR1,SA1,FDML0
DR1_FDML0_SA2.WAV,./data/data/TRAIN/DR1/FDML0/SA2.WAV.wav,DR1,SA2,FDML0
DR1_FDML0_SI1149.WAV,./data/data/TRAIN/DR1/FDML0/SI1149.WAV.wav,DR1,SI1149,FDML0
DR1_FDML0_SI1779.WAV,./data/data/TRAIN/DR1/FDML0/SI1779.WAV.wav,DR1,SI1779,FDML0
DR1_FDML0_SI2075.WAV,./data/data/TRAIN/DR1/FDML0/SI2075.WAV.wav,DR1,SI2075,FDML0
DR1_FDML0_SX159.WAV,./data/data/TRAIN/DR1/FDML0/SX159.WAV.wav,DR1,SX159,FDML0
DR1_FDML0_SX249.WAV,./data/data/TRAIN/DR1/FDML0/SX249.WAV.wav,DR1,SX249,FDML0
DR1_FDML0_SX339.WAV,./data/data/TRAIN/DR1/FDML0/SX339.WAV.wav,DR1,SX339,FDML0
DR1_FDML0_SX429.WAV,./data/data/TRAIN/DR1/FDML0/SX429.WAV.wav,DR1,SX429,FDML0
DR1_FDML0_SX69.WAV,./data/data/TRAIN/DR1/FDML0/SX69.WAV.wav,DR1,SX69,FDML0
DR1_FECD0_SA1.WAV,./data/data/TRAIN/DR1/FECD0/SA1.WAV.wav,DR1,SA1,FECD0
DR1_FECD0_SA2.WAV,./data/data/TRAIN/DR1/FECD0/SA2.WAV.wav,DR1,SA2,FECD0
DR1_FECD0_SI1418.WAV,./data/data/TRAIN/DR1/FECD0/SI1418.WAV.wav,DR1,SI1418,FECD0
DR1_FECD0_SI2048.WAV,./data/data/TRAIN/DR1/FECD0/SI2048.WAV.wav,DR1,SI2048,FECD0
DR1_FECD0_SI788.WAV,./data/data/TRAIN/DR1/FECD0/SI788.WAV.wav,DR1,SI788,FECD0
DR1_FECD0_SX158.WAV,./data/data/TRAIN/DR1/FECD0/SX158.WAV.wav,DR1,SX158,FECD0
DR1_FECD0_SX248.WAV,./data/data/TRAIN/DR1/FECD0/SX248.WAV.wav,DR1,SX248,FECD0
DR1_FECD0_SX338.WAV,./data/data/TRAIN/DR1/FECD0/SX338.WAV.wav,DR1,SX338,FECD0
DR1_FECD0_SX428.WAV,./data/data/TRAIN/DR1/FECD0/SX428.WAV.wav,DR1,SX428,FECD0
DR1_FECD0_SX68.WAV,./data/data/TRAIN/DR1/FECD0/SX68.WAV.wav,DR1,SX68,FECD0
DR1_FETB0_SA1.WAV,./data/data/TRAIN/DR1/FETB0/SA1.WAV.wav,DR1,SA1,FETB0
DR1_FETB0_SA2.WAV,./data/data/TRAIN/DR1/FETB0/SA2.WAV.wav,DR1,SA2,FETB0
DR1_FETB0_SI1148.WAV,./data/data/TRAIN/DR1/FETB0/SI1148.WAV.wav,DR1,SI1148,FETB0
DR1_FETB0_SI1778.WAV,./data/data/TRAIN/DR1/FETB0/SI1778.WAV.wav,DR1,SI1778,FETB0
DR1_FETB0_SI518.WAV,./data/data/TRAIN/DR1/FETB0/SI518.WAV.wav,DR1,SI518,FETB0
DR1_FETB0_SX158.WAV,./data/data/TRAIN/DR1/FETB0/SX158.WAV.wav,DR1,SX158,FETB0
DR1_FETB0_SX248.WAV,./data/data/TRAIN/DR1/FETB0/SX248.WAV.wav,DR1,SX248,FETB0
DR1_FETB0_SX338.WAV,./data/data/TRAIN/DR1/FETB0/SX338.WAV.wav,DR1,SX338,FETB0
DR1_FETB0_SX428.WAV,./data/data/TRAIN/DR1/FETB0/SX428.WAV.wav,DR1,SX428,FETB0
DR1_FETB0_SX68.WAV,./data/data/TRAIN/DR1/FETB0/SX68.WAV.wav,DR1,SX68,FETB0
DR1_FJSP0_SA1.WAV,./data/data/TRAIN/DR1/FJSP0/SA1.WAV.wav,DR1,SA1,FJSP0
DR1_FJSP0_SA2.WAV,./data/data/TRAIN/DR1/FJSP0/SA2.WAV.wav,DR1,SA2,FJSP0
DR1_FJSP0_SI1434.WAV,./data/data/TRAIN/DR1/FJSP0/SI1434.WAV.wav,DR1,SI1434,FJSP0
DR1_FJSP0_SI1763.WAV,./data/data/TRAIN/DR1/FJSP0/SI1763.WAV.wav,DR1,SI1763,FJSP0
DR1_FJSP0_SI804.WAV,./data/data/TRAIN/DR1/FJSP0/SI804.WAV.wav,DR1,SI804,FJSP0
DR1_FJSP0_SX174.WAV,./data/data/TRAIN/DR1/FJSP0/SX174.WAV.wav,DR1,SX174,FJSP0
DR1_FJSP0_SX264.WAV,./data/data/TRAIN/DR1/FJSP0/SX264.WAV.wav,DR1,SX264,FJSP0
DR1_FJSP0_SX354.WAV,./data/data/TRAIN/DR1/FJSP0/SX354.WAV.wav,DR1,SX354,FJSP0
DR1_FJSP0_SX444.WAV,./data/data/TRAIN/DR1/FJSP0/SX444.WAV.wav,DR1,SX444,FJSP0
DR1_FJSP0_SX84.WAV,./data/data/TRAIN/DR1/FJSP0/SX84.WAV.wav,DR1,SX84,FJSP0
DR1_FKFB0_SA1.WAV,./data/data/TRAIN/DR1/FKFB0/SA1.WAV.wav,DR1,SA1,FKFB0
DR1_FKFB0_SA2.WAV,./data/data/TRAIN/DR1/FKFB0/SA2.WAV.wav,DR1,SA2,FKFB0
DR1_FKFB0_SI1608.WAV,./data/data/TRAIN/DR1/FKFB0/SI1608.WAV.wav,DR1,SI1608,FKFB0
DR1_FKFB0_SI2238.WAV,./data/data/TRAIN/DR1/FKFB0/SI2238.WAV.wav,DR1,SI2238,FKFB0
DR1_FKFB0_SI978.WAV,./data/data/TRAIN/DR1/FKFB0/SI978.WAV.wav,DR1,SI978,FKFB0
DR1_FKFB0_SX168.WAV,./data/data/TRAIN/DR1/FKFB0/SX168.WAV.wav,DR1,SX168,FKFB0
DR1_FKFB0_SX258.WAV,./data/data/TRAIN/DR1/FKFB0/SX258.WAV.wav,DR1,SX258,FKFB0
DR1_FKFB0_SX348.WAV,./data/data/TRAIN/DR1/FKFB0/SX348.WAV.wav,DR1,SX348,FKFB0
DR1_FKFB0_SX438.WAV,./data/data/TRAIN/DR1/FKFB0/SX438.WAV.wav,DR1,SX438,FKFB0
DR1_FKFB0_SX78.WAV,./data/data/TRAIN/DR1/FKFB0/SX78.WAV.wav,DR1,SX78,FKFB0
DR1_FMEM0_SA1.WAV,./data/data/TRAIN/DR1/FMEM0/SA1.WAV.wav,DR1,SA1,FMEM0
DR1_FMEM0_SA2.WAV,./data/data/TRAIN/DR1/FMEM0/SA2.WAV.wav,DR1,SA2,FMEM0
DR1_FMEM0_SI1377.WAV,./data/data/TRAIN/DR1/FMEM0/SI1377.WAV.wav,DR1,SI1377,FMEM0
DR1_FMEM0_SI2007.WAV,./data/data/TRAIN/DR1/FMEM0/SI2007.WAV.wav,DR1,SI2007,FMEM0
DR1_FMEM0_SI747.WAV,./data/data/TRAIN/DR1/FMEM0/SI747.WAV.wav,DR1,SI747,FMEM0
DR1_FMEM0_SX117.WAV,./data/data/TRAIN/DR1/FMEM0/SX117.WAV.wav,DR1,SX117,FMEM0
DR1_FMEM0_SX207.WAV,./data/data/TRAIN/DR1/FMEM0/SX207.WAV.wav,DR1,SX207,FMEM0
DR1_FMEM0_SX297.WAV,./data/data/TRAIN/DR1/FMEM0/SX297.WAV.wav,DR1,SX297,FMEM0
DR1_FMEM0_SX333.WAV,./data/data/TRAIN/DR1/FMEM0/SX333.WAV.wav,DR1,SX333,FMEM0
DR1_FMEM0_SX387.WAV,./data/data/TRAIN/DR1/FMEM0/SX387.WAV.wav,DR1,SX387,FMEM0
DR1_FSAH0_SA1.WAV,./data/data/TRAIN/DR1/FSAH0/SA1.WAV.wav,DR1,SA1,FSAH0
DR1_FSAH0_SA2.WAV,./data/data/TRAIN/DR1/FSAH0/SA2.WAV.wav,DR1,SA2,FSAH0
DR1_FSAH0_SI1244.WAV,./data/data/TRAIN/DR1/FSAH0/SI1244.WAV.wav,DR1,SI1244,FSAH0
DR1_FSAH0_SI1874.WAV,./data/data/TRAIN/DR1/FSAH0/SI1874.WAV.wav,DR1,SI1874,FSAH0
DR1_FSAH0_SI614.WAV,./data/data/TRAIN/DR1/FSAH0/SI614.WAV.wav,DR1,SI614,FSAH0
